"AGEGROUP","SEX","PROVINCE","POPULATION","REGION","CD_PROV_REFNIS"
"50-59","All","OostVlaanderen",214889,NA,NA
"60-69","All","OostVlaanderen",178640,NA,NA
"70-79","All","OostVlaanderen",127214,NA,NA
"80-89","All","OostVlaanderen",78253,NA,NA
"90+","All","OostVlaanderen",16011,NA,NA
"All","All","OostVlaanderen",1525255,NA,NA
"0-9","F","VlaamsBrabant",62337,NA,NA
"10-19","F","VlaamsBrabant",65995,NA,NA
"20-29","F","VlaamsBrabant",67272,NA,NA
"30-39","F","VlaamsBrabant",72271,NA,NA
"40-49","F","VlaamsBrabant",77311,NA,NA
"50-59","F","VlaamsBrabant",81936,NA,NA
"60-69","F","VlaamsBrabant",68727,NA,NA
"70-79","F","VlaamsBrabant",49853,NA,NA
"80-89","F","VlaamsBrabant",34343,NA,NA
"90+","F","VlaamsBrabant",8702,NA,NA
"All","F","VlaamsBrabant",588747,NA,NA
"0-9","M","VlaamsBrabant",65265,NA,NA
"10-19","M","VlaamsBrabant",68897,NA,NA
"20-29","M","VlaamsBrabant",68884,NA,NA
"30-39","M","VlaamsBrabant",69820,NA,NA
"40-49","M","VlaamsBrabant",75853,NA,NA
"50-59","M","VlaamsBrabant",81937,NA,NA
"60-69","M","VlaamsBrabant",66434,NA,NA
"70-79","M","VlaamsBrabant",43447,NA,NA
"80-89","M","VlaamsBrabant",22903,NA,NA
"90+","M","VlaamsBrabant",3656,NA,NA
"All","M","VlaamsBrabant",567096,NA,NA
"0-9","All","VlaamsBrabant",127602,NA,NA
"10-19","All","VlaamsBrabant",134892,NA,NA
"20-29","All","VlaamsBrabant",136156,NA,NA
"30-39","All","VlaamsBrabant",142091,NA,NA
"40-49","All","VlaamsBrabant",153164,NA,NA
"50-59","All","VlaamsBrabant",163873,NA,NA
"60-69","All","VlaamsBrabant",135161,NA,NA
"70-79","All","VlaamsBrabant",93300,NA,NA
"80-89","All","VlaamsBrabant",57246,NA,NA
"90+","All","VlaamsBrabant",12358,NA,NA
"All","All","VlaamsBrabant",1155843,NA,NA
"0-9","F","WestVlaanderen",57049,NA,NA
"10-19","F","WestVlaanderen",59677,NA,NA
"20-29","F","WestVlaanderen",66344,NA,NA
"30-39","F","WestVlaanderen",68239,NA,NA
"40-49","F","WestVlaanderen",72238,NA,NA
"50-59","F","WestVlaanderen",85185,NA,NA
"60-69","F","WestVlaanderen",79090,NA,NA
"70-79","F","WestVlaanderen",63024,NA,NA
"80-89","F","WestVlaanderen",43559,NA,NA
"90+","F","WestVlaanderen",11181,NA,NA
"All","F","WestVlaanderen",605586,NA,NA
"0-9","M","WestVlaanderen",59745,NA,NA
"10-19","M","WestVlaanderen",62943,NA,NA
"20-29","M","WestVlaanderen",70024,NA,NA
"30-39","M","WestVlaanderen",71393,NA,NA
"40-49","M","WestVlaanderen",74321,NA,NA
"50-59","M","WestVlaanderen",88308,NA,NA
"60-69","M","WestVlaanderen",77789,NA,NA
"70-79","M","WestVlaanderen",56345,NA,NA
"80-89","M","WestVlaanderen",29795,NA,NA
"90+","M","WestVlaanderen",4696,NA,NA
"All","M","WestVlaanderen",595359,NA,NA
"0-9","All","WestVlaanderen",116794,NA,NA
"10-19","All","WestVlaanderen",122620,NA,NA
"20-29","All","WestVlaanderen",136368,NA,NA
"30-39","All","WestVlaanderen",139632,NA,NA
"40-49","All","WestVlaanderen",146559,NA,NA
"50-59","All","WestVlaanderen",173493,NA,NA
"60-69","All","WestVlaanderen",156879,NA,NA
"70-79","All","WestVlaanderen",119369,NA,NA
"80-89","All","WestVlaanderen",73354,NA,NA
"90+","All","WestVlaanderen",15877,NA,NA
"All","All","WestVlaanderen",1200945,NA,NA
