"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"70-79","M","Brussel-Hoofdstad",27919,"Brussels","Brussel",21000
"80-89","M","Brussel-Hoofdstad",13935,"Brussels","Brussel",21000
"90+","M","Brussel-Hoofdstad",2715,"Brussels","Brussel",21000
"All","M","Brussel-Hoofdstad",597706,"Brussels","Brussel",21000
"0-9","All","Brussel-Hoofdstad",163741,"Brussels","Brussel",21000
"10-19","All","Brussel-Hoofdstad",140462,"Brussels","Brussel",21000
"20-29","All","Brussel-Hoofdstad",181940,"Brussels","Brussel",21000
"30-39","All","Brussel-Hoofdstad",200083,"Brussels","Brussel",21000
"40-49","All","Brussel-Hoofdstad",173777,"Brussels","Brussel",21000
"50-59","All","Brussel-Hoofdstad",142874,"Brussels","Brussel",21000
"60-69","All","Brussel-Hoofdstad",100741,"Brussels","Brussel",21000
"70-79","All","Brussel-Hoofdstad",65453,"Brussels","Brussel",21000
"80-89","All","Brussel-Hoofdstad",38562,"Brussels","Brussel",21000
"90+","All","Brussel-Hoofdstad",10622,"Brussels","Brussel",21000
"All","All","Brussel-Hoofdstad",1218255,"Brussels","Brussel",21000
"0-9","F","Charleroi",22732,"Wallonia","Hainaut",52000
"10-19","F","Charleroi",23395,"Wallonia","Hainaut",52000
"20-29","F","Charleroi",24081,"Wallonia","Hainaut",52000
"30-39","F","Charleroi",25450,"Wallonia","Hainaut",52000
"40-49","F","Charleroi",25637,"Wallonia","Hainaut",52000
"50-59","F","Charleroi",27059,"Wallonia","Hainaut",52000
"60-69","F","Charleroi",24893,"Wallonia","Hainaut",52000
"70-79","F","Charleroi",17412,"Wallonia","Hainaut",52000
"80-89","F","Charleroi",10652,"Wallonia","Hainaut",52000
"90+","F","Charleroi",2860,"Wallonia","Hainaut",52000
"All","F","Charleroi",204171,"Wallonia","Hainaut",52000
"0-9","M","Charleroi",23687,"Wallonia","Hainaut",52000
"10-19","M","Charleroi",24530,"Wallonia","Hainaut",52000
"20-29","M","Charleroi",24389,"Wallonia","Hainaut",52000
"30-39","M","Charleroi",25170,"Wallonia","Hainaut",52000
"40-49","M","Charleroi",26285,"Wallonia","Hainaut",52000
"50-59","M","Charleroi",26010,"Wallonia","Hainaut",52000
"60-69","M","Charleroi",22251,"Wallonia","Hainaut",52000
"70-79","M","Charleroi",13820,"Wallonia","Hainaut",52000
"80-89","M","Charleroi",5744,"Wallonia","Hainaut",52000
"90+","M","Charleroi",905,"Wallonia","Hainaut",52000
"All","M","Charleroi",192791,"Wallonia","Hainaut",52000
"0-9","All","Charleroi",46419,"Wallonia","Hainaut",52000
"10-19","All","Charleroi",47925,"Wallonia","Hainaut",52000
"20-29","All","Charleroi",48470,"Wallonia","Hainaut",52000
"30-39","All","Charleroi",50620,"Wallonia","Hainaut",52000
"40-49","All","Charleroi",51922,"Wallonia","Hainaut",52000
"50-59","All","Charleroi",53069,"Wallonia","Hainaut",52000
"60-69","All","Charleroi",47144,"Wallonia","Hainaut",52000
"70-79","All","Charleroi",31232,"Wallonia","Hainaut",52000
"80-89","All","Charleroi",16396,"Wallonia","Hainaut",52000
"90+","All","Charleroi",3765,"Wallonia","Hainaut",52000
"All","All","Charleroi",396962,"Wallonia","Hainaut",52000
"0-9","F","Dendermonde",10233,"Flanders","Oost-Vlaanderen",42000
"10-19","F","Dendermonde",10809,"Flanders","Oost-Vlaanderen",42000
"20-29","F","Dendermonde",11372,"Flanders","Oost-Vlaanderen",42000
"30-39","F","Dendermonde",12695,"Flanders","Oost-Vlaanderen",42000
"40-49","F","Dendermonde",13309,"Flanders","Oost-Vlaanderen",42000
"50-59","F","Dendermonde",14753,"Flanders","Oost-Vlaanderen",42000
"60-69","F","Dendermonde",12663,"Flanders","Oost-Vlaanderen",42000
"70-79","F","Dendermonde",9249,"Flanders","Oost-Vlaanderen",42000
"80-89","F","Dendermonde",6271,"Flanders","Oost-Vlaanderen",42000
"90+","F","Dendermonde",1379,"Flanders","Oost-Vlaanderen",42000
"All","F","Dendermonde",102733,"Flanders","Oost-Vlaanderen",42000
"0-9","M","Dendermonde",10695,"Flanders","Oost-Vlaanderen",42000
"10-19","M","Dendermonde",11416,"Flanders","Oost-Vlaanderen",42000
"20-29","M","Dendermonde",11373,"Flanders","Oost-Vlaanderen",42000
"30-39","M","Dendermonde",12399,"Flanders","Oost-Vlaanderen",42000
"40-49","M","Dendermonde",13631,"Flanders","Oost-Vlaanderen",42000
"50-59","M","Dendermonde",14966,"Flanders","Oost-Vlaanderen",42000
"60-69","M","Dendermonde",12420,"Flanders","Oost-Vlaanderen",42000
"70-79","M","Dendermonde",8287,"Flanders","Oost-Vlaanderen",42000
"80-89","M","Dendermonde",3973,"Flanders","Oost-Vlaanderen",42000
"90+","M","Dendermonde",518,"Flanders","Oost-Vlaanderen",42000
"All","M","Dendermonde",99678,"Flanders","Oost-Vlaanderen",42000
"0-9","All","Dendermonde",20928,"Flanders","Oost-Vlaanderen",42000
"10-19","All","Dendermonde",22225,"Flanders","Oost-Vlaanderen",42000
"20-29","All","Dendermonde",22745,"Flanders","Oost-Vlaanderen",42000
"30-39","All","Dendermonde",25094,"Flanders","Oost-Vlaanderen",42000
"40-49","All","Dendermonde",26940,"Flanders","Oost-Vlaanderen",42000
"50-59","All","Dendermonde",29719,"Flanders","Oost-Vlaanderen",42000
"60-69","All","Dendermonde",25083,"Flanders","Oost-Vlaanderen",42000
"70-79","All","Dendermonde",17536,"Flanders","Oost-Vlaanderen",42000
"80-89","All","Dendermonde",10244,"Flanders","Oost-Vlaanderen",42000
"90+","All","Dendermonde",1897,"Flanders","Oost-Vlaanderen",42000
"All","All","Dendermonde",202411,"Flanders","Oost-Vlaanderen",42000
"0-9","F","Diksmuide",2789,"Flanders","West-Vlaanderen",32000
"10-19","F","Diksmuide",2711,"Flanders","West-Vlaanderen",32000
"20-29","F","Diksmuide",2961,"Flanders","West-Vlaanderen",32000
"30-39","F","Diksmuide",3129,"Flanders","West-Vlaanderen",32000
"40-49","F","Diksmuide",3111,"Flanders","West-Vlaanderen",32000
"50-59","F","Diksmuide",3594,"Flanders","West-Vlaanderen",32000
"60-69","F","Diksmuide",3037,"Flanders","West-Vlaanderen",32000
"70-79","F","Diksmuide",2251,"Flanders","West-Vlaanderen",32000
"80-89","F","Diksmuide",1748,"Flanders","West-Vlaanderen",32000
"90+","F","Diksmuide",522,"Flanders","West-Vlaanderen",32000
"All","F","Diksmuide",25853,"Flanders","West-Vlaanderen",32000
"0-9","M","Diksmuide",2897,"Flanders","West-Vlaanderen",32000
"10-19","M","Diksmuide",2788,"Flanders","West-Vlaanderen",32000
"20-29","M","Diksmuide",3046,"Flanders","West-Vlaanderen",32000
"30-39","M","Diksmuide",3393,"Flanders","West-Vlaanderen",32000
"40-49","M","Diksmuide",3216,"Flanders","West-Vlaanderen",32000
"50-59","M","Diksmuide",3927,"Flanders","West-Vlaanderen",32000
"60-69","M","Diksmuide",3107,"Flanders","West-Vlaanderen",32000
"70-79","M","Diksmuide",2078,"Flanders","West-Vlaanderen",32000
"80-89","M","Diksmuide",1174,"Flanders","West-Vlaanderen",32000
"90+","M","Diksmuide",217,"Flanders","West-Vlaanderen",32000
"All","M","Diksmuide",25843,"Flanders","West-Vlaanderen",32000
"0-9","All","Diksmuide",5686,"Flanders","West-Vlaanderen",32000
"10-19","All","Diksmuide",5499,"Flanders","West-Vlaanderen",32000
"20-29","All","Diksmuide",6007,"Flanders","West-Vlaanderen",32000
"30-39","All","Diksmuide",6522,"Flanders","West-Vlaanderen",32000
"40-49","All","Diksmuide",6327,"Flanders","West-Vlaanderen",32000
"50-59","All","Diksmuide",7521,"Flanders","West-Vlaanderen",32000
"60-69","All","Diksmuide",6144,"Flanders","West-Vlaanderen",32000
"70-79","All","Diksmuide",4329,"Flanders","West-Vlaanderen",32000
"80-89","All","Diksmuide",2922,"Flanders","West-Vlaanderen",32000
"90+","All","Diksmuide",739,"Flanders","West-Vlaanderen",32000
"All","All","Diksmuide",51696,"Flanders","West-Vlaanderen",32000
"0-9","F","Dinant",5941,"Wallonia","Namur",91000
"10-19","F","Dinant",6436,"Wallonia","Namur",91000
"20-29","F","Dinant",6445,"Wallonia","Namur",91000
"30-39","F","Dinant",6845,"Wallonia","Namur",91000
"40-49","F","Dinant",6844,"Wallonia","Namur",91000
"50-59","F","Dinant",7964,"Wallonia","Namur",91000
"60-69","F","Dinant",7155,"Wallonia","Namur",91000
"70-79","F","Dinant",4898,"Wallonia","Namur",91000
"80-89","F","Dinant",3068,"Wallonia","Namur",91000
"90+","F","Dinant",798,"Wallonia","Namur",91000
"All","F","Dinant",56394,"Wallonia","Namur",91000
"0-9","M","Dinant",6034,"Wallonia","Namur",91000
"10-19","M","Dinant",6798,"Wallonia","Namur",91000
"20-29","M","Dinant",6768,"Wallonia","Namur",91000
"30-39","M","Dinant",6878,"Wallonia","Namur",91000
"40-49","M","Dinant",6989,"Wallonia","Namur",91000
"50-59","M","Dinant",7998,"Wallonia","Namur",91000
"60-69","M","Dinant",7041,"Wallonia","Namur",91000
"70-79","M","Dinant",4209,"Wallonia","Namur",91000
"80-89","M","Dinant",1905,"Wallonia","Namur",91000
"90+","M","Dinant",272,"Wallonia","Namur",91000
"All","M","Dinant",54892,"Wallonia","Namur",91000
"0-9","All","Dinant",11975,"Wallonia","Namur",91000
"10-19","All","Dinant",13234,"Wallonia","Namur",91000
"20-29","All","Dinant",13213,"Wallonia","Namur",91000
"30-39","All","Dinant",13723,"Wallonia","Namur",91000
"40-49","All","Dinant",13833,"Wallonia","Namur",91000
"50-59","All","Dinant",15962,"Wallonia","Namur",91000
"60-69","All","Dinant",14196,"Wallonia","Namur",91000
"70-79","All","Dinant",9107,"Wallonia","Namur",91000
"80-89","All","Dinant",4973,"Wallonia","Namur",91000
"90+","All","Dinant",1070,"Wallonia","Namur",91000
"All","All","Dinant",111286,"Wallonia","Namur",91000
"0-9","F","Eeklo",4045,"Flanders","Oost-Vlaanderen",43000
"10-19","F","Eeklo",4500,"Flanders","Oost-Vlaanderen",43000
"20-29","F","Eeklo",4678,"Flanders","Oost-Vlaanderen",43000
"30-39","F","Eeklo",4896,"Flanders","Oost-Vlaanderen",43000
"40-49","F","Eeklo",5625,"Flanders","Oost-Vlaanderen",43000
