"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"0-9","All","Tournai-Mouscron",23897,"Wallonia","Hainaut",57000
"10-19","All","Tournai-Mouscron",27116,"Wallonia","Hainaut",57000
"20-29","All","Tournai-Mouscron",26342,"Wallonia","Hainaut",57000
"30-39","All","Tournai-Mouscron",27749,"Wallonia","Hainaut",57000
"40-49","All","Tournai-Mouscron",30009,"Wallonia","Hainaut",57000
"50-59","All","Tournai-Mouscron",30390,"Wallonia","Hainaut",57000
"60-69","All","Tournai-Mouscron",26878,"Wallonia","Hainaut",57000
"70-79","All","Tournai-Mouscron",18310,"Wallonia","Hainaut",57000
"80-89","All","Tournai-Mouscron",10344,"Wallonia","Hainaut",57000
"90+","All","Tournai-Mouscron",2764,"Wallonia","Hainaut",57000
"All","All","Tournai-Mouscron",223799,"Wallonia","Hainaut",57000
"0-9","F","Turnhout",23280,"Flanders","Antwerpen",13000
"10-19","F","Turnhout",23565,"Flanders","Antwerpen",13000
"20-29","F","Turnhout",25526,"Flanders","Antwerpen",13000
"30-39","F","Turnhout",28896,"Flanders","Antwerpen",13000
"40-49","F","Turnhout",29763,"Flanders","Antwerpen",13000
"50-59","F","Turnhout",35069,"Flanders","Antwerpen",13000
"60-69","F","Turnhout",29696,"Flanders","Antwerpen",13000
"70-79","F","Turnhout",20540,"Flanders","Antwerpen",13000
"80-89","F","Turnhout",12976,"Flanders","Antwerpen",13000
"90+","F","Turnhout",2725,"Flanders","Antwerpen",13000
"All","F","Turnhout",232036,"Flanders","Antwerpen",13000
"0-9","M","Turnhout",24412,"Flanders","Antwerpen",13000
"10-19","M","Turnhout",25422,"Flanders","Antwerpen",13000
"20-29","M","Turnhout",26374,"Flanders","Antwerpen",13000
"30-39","M","Turnhout",28751,"Flanders","Antwerpen",13000
"40-49","M","Turnhout",29999,"Flanders","Antwerpen",13000
"50-59","M","Turnhout",36423,"Flanders","Antwerpen",13000
"60-69","M","Turnhout",30710,"Flanders","Antwerpen",13000
"70-79","M","Turnhout",19894,"Flanders","Antwerpen",13000
"80-89","M","Turnhout",9564,"Flanders","Antwerpen",13000
"90+","M","Turnhout",1284,"Flanders","Antwerpen",13000
"All","M","Turnhout",232833,"Flanders","Antwerpen",13000
"0-9","All","Turnhout",47692,"Flanders","Antwerpen",13000
"10-19","All","Turnhout",48987,"Flanders","Antwerpen",13000
"20-29","All","Turnhout",51900,"Flanders","Antwerpen",13000
"30-39","All","Turnhout",57647,"Flanders","Antwerpen",13000
"40-49","All","Turnhout",59762,"Flanders","Antwerpen",13000
"50-59","All","Turnhout",71492,"Flanders","Antwerpen",13000
"60-69","All","Turnhout",60406,"Flanders","Antwerpen",13000
"70-79","All","Turnhout",40434,"Flanders","Antwerpen",13000
"80-89","All","Turnhout",22540,"Flanders","Antwerpen",13000
"90+","All","Turnhout",4009,"Flanders","Antwerpen",13000
"All","All","Turnhout",464869,"Flanders","Antwerpen",13000
"0-9","F","Verviers",15855,"Wallonia","Liège",63000
"10-19","F","Verviers",16895,"Wallonia","Liège",63000
"20-29","F","Verviers",17319,"Wallonia","Liège",63000
"30-39","F","Verviers",17430,"Wallonia","Liège",63000
"40-49","F","Verviers",17830,"Wallonia","Liège",63000
"50-59","F","Verviers",20809,"Wallonia","Liège",63000
"60-69","F","Verviers",17824,"Wallonia","Liège",63000
"70-79","F","Verviers",12345,"Wallonia","Liège",63000
"80-89","F","Verviers",7825,"Wallonia","Liège",63000
"90+","F","Verviers",1900,"Wallonia","Liège",63000
"All","F","Verviers",146032,"Wallonia","Liège",63000
"0-9","M","Verviers",16411,"Wallonia","Liège",63000
"10-19","M","Verviers",17540,"Wallonia","Liège",63000
"20-29","M","Verviers",18043,"Wallonia","Liège",63000
"30-39","M","Verviers",17406,"Wallonia","Liège",63000
"40-49","M","Verviers",17639,"Wallonia","Liège",63000
"50-59","M","Verviers",21132,"Wallonia","Liège",63000
"60-69","M","Verviers",17620,"Wallonia","Liège",63000
"70-79","M","Verviers",10646,"Wallonia","Liège",63000
"80-89","M","Verviers",5123,"Wallonia","Liège",63000
"90+","M","Verviers",685,"Wallonia","Liège",63000
"All","M","Verviers",142245,"Wallonia","Liège",63000
"0-9","All","Verviers",32266,"Wallonia","Liège",63000
"10-19","All","Verviers",34435,"Wallonia","Liège",63000
"20-29","All","Verviers",35362,"Wallonia","Liège",63000
"30-39","All","Verviers",34836,"Wallonia","Liège",63000
"40-49","All","Verviers",35469,"Wallonia","Liège",63000
"50-59","All","Verviers",41941,"Wallonia","Liège",63000
"60-69","All","Verviers",35444,"Wallonia","Liège",63000
"70-79","All","Verviers",22991,"Wallonia","Liège",63000
"80-89","All","Verviers",12948,"Wallonia","Liège",63000
"90+","All","Verviers",2585,"Wallonia","Liège",63000
"All","All","Verviers",288277,"Wallonia","Liège",63000
"0-9","F","Veurne",2069,"Flanders","West-Vlaanderen",38000
"10-19","F","Veurne",2395,"Flanders","West-Vlaanderen",38000
"20-29","F","Veurne",2660,"Flanders","West-Vlaanderen",38000
"30-39","F","Veurne",2522,"Flanders","West-Vlaanderen",38000
"40-49","F","Veurne",3085,"Flanders","West-Vlaanderen",38000
"50-59","F","Veurne",4599,"Flanders","West-Vlaanderen",38000
"60-69","F","Veurne",5718,"Flanders","West-Vlaanderen",38000
"70-79","F","Veurne",4797,"Flanders","West-Vlaanderen",38000
"80-89","F","Veurne",2702,"Flanders","West-Vlaanderen",38000
"90+","F","Veurne",659,"Flanders","West-Vlaanderen",38000
"All","F","Veurne",31206,"Flanders","West-Vlaanderen",38000
"0-9","M","Veurne",2216,"Flanders","West-Vlaanderen",38000
"10-19","M","Veurne",2663,"Flanders","West-Vlaanderen",38000
"20-29","M","Veurne",3106,"Flanders","West-Vlaanderen",38000
"30-39","M","Veurne",2704,"Flanders","West-Vlaanderen",38000
"40-49","M","Veurne",3079,"Flanders","West-Vlaanderen",38000
"50-59","M","Veurne",4606,"Flanders","West-Vlaanderen",38000
"60-69","M","Veurne",5400,"Flanders","West-Vlaanderen",38000
"70-79","M","Veurne",4487,"Flanders","West-Vlaanderen",38000
"80-89","M","Veurne",1973,"Flanders","West-Vlaanderen",38000
"90+","M","Veurne",299,"Flanders","West-Vlaanderen",38000
"All","M","Veurne",30533,"Flanders","West-Vlaanderen",38000
"0-9","All","Veurne",4285,"Flanders","West-Vlaanderen",38000
"10-19","All","Veurne",5058,"Flanders","West-Vlaanderen",38000
"20-29","All","Veurne",5766,"Flanders","West-Vlaanderen",38000
"30-39","All","Veurne",5226,"Flanders","West-Vlaanderen",38000
"40-49","All","Veurne",6164,"Flanders","West-Vlaanderen",38000
"50-59","All","Veurne",9205,"Flanders","West-Vlaanderen",38000
"60-69","All","Veurne",11118,"Flanders","West-Vlaanderen",38000
"70-79","All","Veurne",9284,"Flanders","West-Vlaanderen",38000
"80-89","All","Veurne",4675,"Flanders","West-Vlaanderen",38000
"90+","All","Veurne",958,"Flanders","West-Vlaanderen",38000
"All","All","Veurne",61739,"Flanders","West-Vlaanderen",38000
"0-9","F","Virton",3025,"Wallonia","Luxembourg",85000
"10-19","F","Virton",3561,"Wallonia","Luxembourg",85000
"20-29","F","Virton",3177,"Wallonia","Luxembourg",85000
"30-39","F","Virton",3370,"Wallonia","Luxembourg",85000
"40-49","F","Virton",3639,"Wallonia","Luxembourg",85000
"50-59","F","Virton",3643,"Wallonia","Luxembourg",85000
"60-69","F","Virton",3169,"Wallonia","Luxembourg",85000
"70-79","F","Virton",1929,"Wallonia","Luxembourg",85000
"80-89","F","Virton",1517,"Wallonia","Luxembourg",85000
"90+","F","Virton",375,"Wallonia","Luxembourg",85000
"All","F","Virton",27405,"Wallonia","Luxembourg",85000
"0-9","M","Virton",3117,"Wallonia","Luxembourg",85000
"10-19","M","Virton",3709,"Wallonia","Luxembourg",85000
"20-29","M","Virton",3452,"Wallonia","Luxembourg",85000
"30-39","M","Virton",3414,"Wallonia","Luxembourg",85000
"40-49","M","Virton",3593,"Wallonia","Luxembourg",85000
"50-59","M","Virton",3685,"Wallonia","Luxembourg",85000
"60-69","M","Virton",2928,"Wallonia","Luxembourg",85000
"70-79","M","Virton",1757,"Wallonia","Luxembourg",85000
"80-89","M","Virton",916,"Wallonia","Luxembourg",85000
"90+","M","Virton",163,"Wallonia","Luxembourg",85000
"All","M","Virton",26734,"Wallonia","Luxembourg",85000
"0-9","All","Virton",6142,"Wallonia","Luxembourg",85000
"10-19","All","Virton",7270,"Wallonia","Luxembourg",85000
"20-29","All","Virton",6629,"Wallonia","Luxembourg",85000
"30-39","All","Virton",6784,"Wallonia","Luxembourg",85000
"40-49","All","Virton",7232,"Wallonia","Luxembourg",85000
"50-59","All","Virton",7328,"Wallonia","Luxembourg",85000
"60-69","All","Virton",6097,"Wallonia","Luxembourg",85000
"70-79","All","Virton",3686,"Wallonia","Luxembourg",85000
"80-89","All","Virton",2433,"Wallonia","Luxembourg",85000
"90+","All","Virton",538,"Wallonia","Luxembourg",85000
"All","All","Virton",54139,"Wallonia","Luxembourg",85000
"0-9","F","Waremme",4281,"Wallonia","Liège",64000
"10-19","F","Waremme",4945,"Wallonia","Liège",64000
"20-29","F","Waremme",4466,"Wallonia","Liège",64000
"30-39","F","Waremme",5196,"Wallonia","Liège",64000
"40-49","F","Waremme",5828,"Wallonia","Liège",64000
"50-59","F","Waremme",5906,"Wallonia","Liège",64000
"60-69","F","Waremme",5220,"Wallonia","Liège",64000
"70-79","F","Waremme",3402,"Wallonia","Liège",64000
"80-89","F","Waremme",2108,"Wallonia","Liège",64000
"90+","F","Waremme",548,"Wallonia","Liège",64000
"All","F","Waremme",41900,"Wallonia","Liège",64000
"0-9","M","Waremme",4384,"Wallonia","Liège",64000
"10-19","M","Waremme",5199,"Wallonia","Liège",64000
"20-29","M","Waremme",4526,"Wallonia","Liège",64000
"30-39","M","Waremme",5026,"Wallonia","Liège",64000
"40-49","M","Waremme",5723,"Wallonia","Liège",64000
"50-59","M","Waremme",5922,"Wallonia","Liège",64000
"60-69","M","Waremme",4826,"Wallonia","Liège",64000
"70-79","M","Waremme",2922,"Wallonia","Liège",64000
"80-89","M","Waremme",1267,"Wallonia","Liège",64000
"90+","M","Waremme",194,"Wallonia","Liège",64000
"All","M","Waremme",39989,"Wallonia","Liège",64000
"0-9","All","Waremme",8665,"Wallonia","Liège",64000
"10-19","All","Waremme",10144,"Wallonia","Liège",64000
"20-29","All","Waremme",8992,"Wallonia","Liège",64000
"30-39","All","Waremme",10222,"Wallonia","Liège",64000
"40-49","All","Waremme",11551,"Wallonia","Liège",64000
"50-59","All","Waremme",11828,"Wallonia","Liège",64000
"60-69","All","Waremme",10046,"Wallonia","Liège",64000
"70-79","All","Waremme",6324,"Wallonia","Liège",64000
"80-89","All","Waremme",3375,"Wallonia","Liège",64000
"90+","All","Waremme",742,"Wallonia","Liège",64000
"All","All","Waremme",81889,"Wallonia","Liège",64000
