"AGEGROUP","SEX","MUNTY","POPULATION","REGION","PROVINCE","DISTRICT","CD_REFNIS"
"70-79","M","Amblève",199,"Wallonia","Liège","Verviers",63001
"80-89","M","Amblève",143,"Wallonia","Liège","Verviers",63001
"90+","M","Amblève",14,"Wallonia","Liège","Verviers",63001
"All","M","Amblève",2821,"Wallonia","Liège","Verviers",63001
"0-9","All","Amblève",570,"Wallonia","Liège","Verviers",63001
"10-19","All","Amblève",614,"Wallonia","Liège","Verviers",63001
"20-29","All","Amblève",710,"Wallonia","Liège","Verviers",63001
"30-39","All","Amblève",607,"Wallonia","Liège","Verviers",63001
"40-49","All","Amblève",640,"Wallonia","Liège","Verviers",63001
"50-59","All","Amblève",959,"Wallonia","Liège","Verviers",63001
"60-69","All","Amblève",612,"Wallonia","Liège","Verviers",63001
"70-79","All","Amblève",417,"Wallonia","Liège","Verviers",63001
"80-89","All","Amblève",310,"Wallonia","Liège","Verviers",63001
"90+","All","Amblève",47,"Wallonia","Liège","Verviers",63001
"All","All","Amblève",5486,"Wallonia","Liège","Verviers",63001
"0-9","F","Andenne",1553,"Wallonia","Namur","Namur",92003
"10-19","F","Andenne",1596,"Wallonia","Namur","Namur",92003
"20-29","F","Andenne",1767,"Wallonia","Namur","Namur",92003
"30-39","F","Andenne",1866,"Wallonia","Namur","Namur",92003
"40-49","F","Andenne",1807,"Wallonia","Namur","Namur",92003
"50-59","F","Andenne",1864,"Wallonia","Namur","Namur",92003
"60-69","F","Andenne",1672,"Wallonia","Namur","Namur",92003
"70-79","F","Andenne",1128,"Wallonia","Namur","Namur",92003
"80-89","F","Andenne",701,"Wallonia","Namur","Namur",92003
"90+","F","Andenne",200,"Wallonia","Namur","Namur",92003
"All","F","Andenne",14154,"Wallonia","Namur","Namur",92003
"0-9","M","Andenne",1666,"Wallonia","Namur","Namur",92003
"10-19","M","Andenne",1676,"Wallonia","Namur","Namur",92003
"20-29","M","Andenne",1655,"Wallonia","Namur","Namur",92003
"30-39","M","Andenne",1874,"Wallonia","Namur","Namur",92003
"40-49","M","Andenne",1729,"Wallonia","Namur","Namur",92003
"50-59","M","Andenne",1857,"Wallonia","Namur","Namur",92003
"60-69","M","Andenne",1589,"Wallonia","Namur","Namur",92003
"70-79","M","Andenne",904,"Wallonia","Namur","Namur",92003
"80-89","M","Andenne",409,"Wallonia","Namur","Namur",92003
"90+","M","Andenne",60,"Wallonia","Namur","Namur",92003
"All","M","Andenne",13419,"Wallonia","Namur","Namur",92003
"0-9","All","Andenne",3219,"Wallonia","Namur","Namur",92003
"10-19","All","Andenne",3272,"Wallonia","Namur","Namur",92003
